Trelast og Byggevarer,Byggnings og Interiørplater,,Våtromsplater,940900,,,,,,,,,,,,,,,,,,,,940900
Trelast og Byggevarer,Byggnings og Interiørplater,,Sementplater,940800,,,,,,,,,,,,,,,,,,,,940800
Trelast og Byggevarer,Byggnings og Interiørplater,,Bygningsplater Tilbehør,940900,,,,,,,,,,,,,,,,,,,,940900
Trelast og Byggevarer,Isolasjon og Tetting,,Byggisolasjon,930001,,,,,,,,,,,,,,,,,,,,930001
Trelast og Byggevarer,Isolasjon og Tetting,,Grunnisolasjon,930110,930120,,,,,,,,,,,,,,,,,,,"0930110,0930120"
Trelast og Byggevarer,Isolasjon og Tetting,,Byggfolie,930200,,,,,,,,,,,,,,,,,,,,930200
Trelast og Byggevarer,Isolasjon og Tetting,,Vindsperre,930250,,,,,,,,,,,,,,,,,,,,930250
Trelast og Byggevarer,Isolasjon og Tetting,,Isolajon Øvrig ,930400,930700,,,,,,,,,,,,,,,,,,,"0930400,0930700"
Trelast og Byggevarer,Isolasjon og Tetting,,Grunnmurspapp,925001,,,,,,,,,,,,,,,,,,,,925001
Trelast og Byggevarer,Isolasjon og Tetting,,Veggpapp,925100,,,,,,,,,,,,,,,,,,,,925100
Trelast og Byggevarer,Isolasjon og Tetting,,Gulvunderlag,925200,,,,,,,,,,,,,,,,,,,,925200
Trelast og Byggevarer,Isolasjon og Tetting,,Dekningspapp,925220,,,,,,,,,,,,,,,,,,,,925220
Trelast og Byggevarer,Isolasjon og Tetting,,Byggtapet,2026001,,,,,,,,,,,,,,,,,,,,2026001
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Sement/Kalk,601001,,,,,,,,,,,,,,,,,,,,601001
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Mur og Pussmørtel,601110,,,,,,,,,,,,,,,,,,,,601110
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Støpemørtel,601150,,,,,,,,,,,,,,,,,,,,601150
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Sand og Pukk,601300,,,,,,,,,,,,,,,,,,,,601300
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Spesialmørtel,601800,,,,,,,,,,,,,,,,,,,,601800
Trelast og Byggevarer,"Mørtel, Stål og Betong",Sement og Mørtel,Ekspanderende Mørtel,601810,,,,,,,,,,,,,,,,,,,,601810
Trelast og Byggevarer,"Mørtel, Stål og Betong",Vanntetting,Fugebånd / Tetting,602100,,,,,,,,,,,,,,,,,,,,602100
Trelast og Byggevarer,"Mørtel, Stål og Betong",Vanntetting,Overflatebehandling Mur og Puss,602300,,,,,,,,,,,,,,,,,,,,602300
Trelast og Byggevarer,"Mørtel, Stål og Betong",Vanntetting,Membran,602400,,,,,,,,,,,,,,,,,,,,602400
Trelast og Byggevarer,"Mørtel, Stål og Betong",Vanntetting,Membran Tilbehør,602450,2020440,,,,,,,,,,,,,,,,,,,"0602450,2020440"
Trelast og Byggevarer,"Mørtel, Stål og Betong",Vanntetting,Tilsettningstoffer og Primere ,2028100,2028200,2028300,,,,,,,,,,,,,,,,,,"2028100,2028200,2028300"
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Fiberduk,605001,,,,,,,,,,,,,,,,,,,,605001
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Grunnmursplater,605300,605310,605340,,,,,,,,,,,,,,,,,,"0605300,0605310,0605340"
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Avløpsrenne og Rister,605400,,,,,,,,,,,,,,,,,,,,605400
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Radonsperre,605550,,,,,,,,,,,,,,,,,,,,605550
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Tilbehør Radonsperre ,605550,,,,,,,,,,,,,,,,,,,,605550
Trelast og Byggevarer,"Mørtel, Stål og Betong","Grunn/drensplate, Rist, Renne",Div Drenering,605999,,,,,,,,,,,,,,,,,,,,605999
Trelast og Byggevarer,"Mørtel, Stål og Betong",Rør og Kummer,Annleggsrør,606100,,,,,,,,,,,,,,,,,,,,606100
Trelast og Byggevarer,"Mørtel, Stål og Betong",Rør og Kummer,Drensrør,606200,,,,,,,,,,,,,,,,,,,,606200
Trelast og Byggevarer,"Mørtel, Stål og Betong",Rør og Kummer,Kabelrør og Tilbehør,606400,,,,,,,,,,,,,,,,,,,,606400
Trelast og Byggevarer,"Mørtel, Stål og Betong",Rør og Kummer,Kummer og Tilbehør,606810,,,,,,,,,,,,,,,,,,,,606810
Trelast og Byggevarer,"Mørtel, Stål og Betong",Forskalingsutstyr ,Forskalingssystem,610100,,,,,,,,,,,,,,,,,,,,610100
Trelast og Byggevarer,"Mørtel, Stål og Betong",Forskalingsutstyr ,Ringmur,610200,,,,,,,,,,,,,,,,,,,,610200
Trelast og Byggevarer,"Mørtel, Stål og Betong",Forskalingsutstyr ,Støperør,610700,,,,,,,,,,,,,,,,,,,,610700
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Lecablokker,615010,,,,,,,,,,,,,,,,,,,,615010
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Porebetong / Siporex,615020,,,,,,,,,,,,,,,,,,,,615020
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Forskalingsblokk,615030,,,,,,,,,,,,,,,,,,,,615030
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Thermomur (ikke lagerført),615040,,,,,,,,,,,,,,,,,,,,615040
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Lecakuler,615100,,,,,,,,,,,,,,,,,,,,615100
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Murstein og Tegl,615310,,,,,,,,,,,,,,,,,,,,615310
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Ildfaste Stein,615320,,,,,,,,,,,,,,,,,,,,615320
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Pipeelemt og Tilbehør,615400,,,,,,,,,,,,,,,,,,,,615400
Trelast og Byggevarer,"Mørtel, Stål og Betong",Murblokk og Leca,Div Tilbehør,615910,,,,,,,,,,,,,,,,,,,,615910
Trelast og Byggevarer,"Mørtel, Stål og Betong",Armering,Armeringsjern,812001,,,,,,,,,,,,,,,,,,,,812001
Trelast og Byggevarer,"Mørtel, Stål og Betong",Armering,Armeringsnett,812100,2024900,,,,,,,,,,,,,,,,,,,"0812100,2024900"
Trelast og Byggevarer,"Mørtel, Stål og Betong",Armering,Armering Tilbehør ,812900,,,,,,,,,,,,,,,,,,,,812900
Trelast og Byggevarer,"Mørtel, Stål og Betong",Netting og Gjerde,Netting og Gjerde,830001,830900,,,,,,,,,,,,,,,,,,,"0830001,0830900"
Trelast og Byggevarer,Tak,Takstein,Takstein Betong,,,,,,,,,,,,,,,,,,,,,
Trelast og Byggevarer,Tak,Takstein,Takstein Tegl,,,,,,,,,,,,,,,,,,,,,
Trelast og Byggevarer,Tak,Takstein,Takstein Tilbehør ,,,,,,,,,,,,,,,,,,,,,
Trelast og Byggevarer,Tak,Takplater,Takplater Stål,1021610,,,,,,,,,,,,,,,,,,,,1021610
